name,type,capacity_mw,operator,state,osm_id,lng,lat
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003159746,78.4173581,12.9566754
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003159747,78.4111921,12.9555147
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003159748,77.7493601,12.650273
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003159749,77.2072584,12.7595049
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003478075,72.1926246,27.3994244
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003478076,72.1919258,27.4325566
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003478077,72.1884075,27.4265818
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003478078,72.1771998,27.437548
Unnamed Solar Plant,solar,0,Unknown,Rajasthan,way/1003528881,73.4052529,28.3547478
Ghatampur Thermal Power Station,coal,660.0,Neyveli Uttar Pradesh Power Limited,Uttar Pradesh,way/1004162648,80.189846,25.9733824
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1004516616,77.7248168,30.4489662
Unnamed Solar Plant,solar,0,Unknown,Uttaranchal,way/1004516622,77.7331377,30.4529027
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1004753761,77.8299044,8.9082467
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1004952029,78.2738033,9.3585975
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1004991797,79.4451777,18.9853109
Unnamed Solar Plant,solar,0,Unknown,Punjab,way/1005384995,76.2767257,31.1488358
Unnamed Solar Plant,solar,0,Unknown,Himachal Pradesh,way/1005385001,76.1834384,31.3960583
Unnamed Solar Plant,solar,1.0,Unknown,Punjab,way/1005385004,74.9560047,31.9619034
Unnamed Solar Plant,solar,0,Unknown,Punjab,way/1005387909,75.7047573,31.2549062
Unnamed Solar Plant,solar,0,Unknown,Punjab,way/1005387919,75.9384951,30.8783637
Unnamed Solar Plant,solar,0,Unknown,Punjab,way/1005387921,76.3752045,31.0565426
Unnamed Solar Plant,solar,0,Unknown,Haryana,way/1005391113,77.0587747,30.6116389
Unnamed Solar Plant,solar,0,Unknown,Haryana,way/1005391432,76.9917516,30.5337842
Unnamed Solar Plant,solar,0,Unknown,Orissa,way/1005400030,85.4656244,19.9763367
Unnamed Solar Plant,solar,0,Unknown,Orissa,way/1005400035,85.4239583,19.9583287
Unnamed Solar Plant,solar,0,Unknown,Jharkhand,way/1005400036,86.0161039,22.6347934
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1005402494,73.4752536,18.1117351
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1005402495,74.1008066,18.4953384
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1005402496,74.1017633,18.4948483
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1005402497,74.0995213,18.4946359
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1005402498,74.0995166,18.4950208
