COMPLETE LIST OF POWER PLANTS IN INDIA (3801 Total)
================================================================================


--- ANDAMAN AND NICOBAR ---
363. Rajahmundry Power Plant | Type: gas | Capacity: 768.0 MW
364. Rajampet mandal Solar Plant | Type: solar | Capacity: 0 MW
365. Rajampet mandal Solar Plant | Type: solar | Capacity: 0 MW
366. Rajampet mandal Solar Plant | Type: solar | Capacity: 0 MW
367. Rajampet mandal Solar Plant | Type: solar | Capacity: 0 MW
368. Rajampet mandal Solar Plant | Type: solar | Capacity: 0 MW
369. Rajampet mandal Solar Plant | Type: solar | Capacity: 0 MW
370. Rajapeta mandal Solar Plant | Type: solar | Capacity: 0 MW
371. Ramagundam B thermal power plant | Type: coal | Capacity: 62.5 MW
372. Ramagundam mandal Solar Plant | Type: solar | Capacity: 0 MW
373. Ramagundam mandal Solar Plant | Type: solar | Capacity: 0 MW
374. Ramagundam mandal Solar Plant | Type: solar | Capacity: 0 MW
375. Ramannapet | Type: solar | Capacity: 15.0 MW
376. Ramannapet mandal Solar Plant | Type: solar | Capacity: 0 MW
377. Ramannapet mandal Solar Plant | Type: solar | Capacity: 0 MW
378. Ramareddy mandal Solar Plant | Type: solar | Capacity: 0 MW
379. Ramayampet SD | Type: solar | Capacity: 10.0 MW
380. Ranastalam Solar Plant | Type: solar | Capacity: 0 MW
381. Ranastalam Solar Plant | Type: solar | Capacity: 0 MW
382. Rangareddy Mytrah | Type: solar | Capacity: 0 MW
383. Raptadu Solar Plant | Type: solar | Capacity: 0 MW
384. Rayachoti Solar Plant | Type: solar | Capacity: 0 MW
385. Rayalaseema Thermal Power Station | Type: coal | Capacity: 1650.0 MW
386. Renigunta Solar Plant | Type: solar | Capacity: 0 MW
387. Renjal | Type: solar | Capacity: 15.0 MW
388. Roddam Solar Plant | Type: solar | Capacity: 0 MW
389. Rohukurupalli | Type: solar | Capacity: 20.0 MW
390. Sadashivnagar mandal Solar Plant | Type: solar | Capacity: 0 MW
391. Sadashivnagar mandal Solar Plant | Type: solar | Capacity: 0 MW
392. Sadashivnagar mandal Solar Plant | Type: solar | Capacity: 0 MW
393. Sadashivnagar mandal Solar Plant | Type: solar | Capacity: 0 MW
394. Sadashivnagar mandal Solar Plant | Type: solar | Capacity: 0 MW
395. Sadashivnagar mandal Solar Plant | Type: solar | Capacity: 0 MW
396. Sadasivpet mandal Solar Plant | Type: solar | Capacity: 0 MW
397. Sadasivpet mandal Solar Plant | Type: solar | Capacity: 0 MW
398. Sadasivpet mandal Solar Plant | Type: solar | Capacity: 0 MW
399. Saidapur | Type: solar | Capacity: 24.0 MW
400. Salojipalle | Type: solar | Capacity: 0 MW
401. Samalkot Power Project | Type: gas | Capacity: 220.0 MW
402. Sambepalle Solar Plant | Type: solar | Capacity: 0 MW
403. Sambepalle Solar Plant | Type: solar | Capacity: 0 MW
404. Sangareddy Solar Plant | Type: solar | Capacity: 0 MW
405. Sangareddy Solar Plant | Type: solar | Capacity: 0 MW
406. Sangareddy Solar Plant | Type: solar | Capacity: 0 MW
407. Sangareddy Solar Plant | Type: solar | Capacity: 0 MW
408. Santhakaviti Solar Plant | Type: solar | Capacity: 0 MW
409. Santhamaguluru Hydro Plant | Type: hydro | Capacity: 0 MW
410. Santhipuram Solar Plant | Type: solar | Capacity: 0 MW
411. Sarangapur mandal Solar Plant | Type: solar | Capacity: 0 MW
412. Satyavedu Solar Plant | Type: solar | Capacity: 0 MW
413. Savalyapuram Hydro Plant | Type: hydro | Capacity: 0 MW
